,Name,Measure,Toxicity,Reference
514,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,Mouse ip 2611 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, 2-(2-methoxyethoxy)ethanol (111-77-3) p.40 (2000 CD-ROM edition). Available from, as of February 26, 2007: https://esis.jrc.ec.europa.eu/"
515,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,Mouse ip 5600 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, 2-(2-methoxyethoxy)ethanol (111-77-3) p.40 (2000 CD-ROM edition). Available from, as of February 26, 2007: https://esis.jrc.ec.europa.eu/"
516,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,"Guinea pig oral 4.16 g/kg (4,160 mg/kg)","Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. V7 188"
517,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,"Rabbit oral 7.19 g/kg (7,190 mg/kg)","Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. V7 188"
518,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,Rabbit dermal 20000 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, 2-(2-methoxyethoxy)ethanol (111-77-3) p.38 (2000 CD-ROM edition). Available from, as of February 26, 2007: https://esis.jrc.ec.europa.eu/"
519,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,Rabbit dermal 6540 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, 2-(2-methoxyethoxy)ethanol (111-77-3) p.38 (2000 CD-ROM edition). Available from, as of February 26, 2007: https://esis.jrc.ec.europa.eu/"
520,DIETHYLENE GLYCOL MONOMETHYL ETHER,LD50,Guinea pig oral 4160 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1270"
521,2-METHOXYETHANOL,LD50,Rabbit dermal 1280 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
522,2-METHOXYETHANOL,LD50,Rabbit oral 890 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
523,2-METHOXYETHANOL,LD50,Mouse ip 2147 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
524,2-METHOXYETHANOL,LD50,Mouse oral 2560 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
525,2-METHOXYETHANOL,LD50,Rat iv 2140 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
526,2-METHOXYETHANOL,LD50,Rat ip 2500 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
527,2-METHOXYETHANOL,LD50,Rat oral 3400 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 39 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
528,2-METHOXYETHANOL,LD50,Rat oral 2460 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
529,2-METHOXYETHANOL,LD50,Mouse oral 2.8 g/kg /in oil solution; slightly higher if given in water/,"Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. V7 88"
530,2-METHOXYETHANOL,LD50,Guinea pig oral 950 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
531,2-METHOXYETHANOL,LD50,Rat inh 6.2 mg/L/4 hr,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 44 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
532,2-METHOXYETHANOL,LD50,Rabbit ip 1450 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 53 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
533,2-METHOXYETHANOL,LD50,Rabbit dermal 2000 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 43 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
534,2-METHOXYETHANOL,LD50,Mouse inh 4.6 mg/L/7 hr,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 47 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
535,2-METHOXYETHANOL,LD50,Mouse inh 1500 ppm/7 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
536,2-METHOXYETHANOL,LD50,Rat inh 1500 ppm/7 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1666"
537,2-METHOXYETHANOL,LD50,Rat inh 4.7 mg/L/7 hr,"European Commission, ESIS; IUCLID Dataset, 2-methoxyethanol (109-86-4) p. 43 (2000 CD-ROM edition). Available from as of May 15, 2014 the Database Query page at: https://esis.jrc.ec.europa.eu/."
538,METHYLCYCLOHEXANE,LD50,"Rabbit inhalation 7300 ppm, 6 hr/day, 5 day/wk, 2 wk","Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 842"
539,METHYL ETHYL KETONE,LD50,Rat inhalation >5000 ppm/6 hr,"European Chemicals Bureau; IUCLID Dataset, Butanone (CAS # 79-93-3) p.31 Available from, as of September 28, 2007: https://esis.jrc.ec.europa.eu/"
540,METHYL ETHYL KETONE,LD50,Rat oral 3400 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Butanone (CAS # 79-93-3) p.31 Available from, as of September 28, 2007: https://esis.jrc.ec.europa.eu/"
541,METHYL ETHYL KETONE,LD50,Rat oral 2900 (95% C.I. 2300-3500) mg/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.59 (1993)
542,METHYL ETHYL KETONE,LD50,Rat (female) oral 5520 (95% C.I. 4500-6800) mg/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.59 (1993)
543,METHYL ETHYL KETONE,LD50,Mouse (male) oral 3140 + or - 670 mg/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.60 (1993)
544,METHYL ETHYL KETONE,LD50,"(45 min) Mouse (male) inhalation 205,000 + or - 32,500 mg/cu m (69,500 + or - 11,000 ppm) /From table/",WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.60 (1993)
545,METHYL ETHYL KETONE,LD50,"(4 hr) Rat (male) inhalation 34,500 mg/cu m (11,700 ppm) /From table/",WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.61 (1993)
546,METHYL ETHYL KETONE,LD50,(24 hr) Mouse (male) ip 1660 + or - 740 mg/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.63 (1993)
547,METHYL ETHYL KETONE,LD50,(24 hr) Rat (female) ip 15540 (95% CI 12290-19660) mg/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.63 (1993)
548,METHYL ETHYL KETONE,LD50,(14 day) Rat (female) ip 6070 (95% C.I. 4860-7480 g/kg /From table/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.63 (1993)
549,METHYL ETHYL KETONE,LD50,(14 days) Rabbit (male) dermal >8000 mg/kg /From table; 24-hr occluded exposure duration/,WHO; Environ Health Criteria 143: Methyl Ethyl Ketone p.64 (1993)
550,N-METHYLFORMAMIDE,LD50,BALB/C Mouse ip 2.3 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
551,N-METHYLFORMAMIDE,LD50,BALB/C Mouse iv 1.58 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
552,N-METHYLFORMAMIDE,LD50,BALB/C Mouse oral 2.6 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
553,N-METHYLFORMAMIDE,LD50,BALB/C Mouse im 2.7 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
554,N-METHYLFORMAMIDE,LD50,BALB/C Mouse ip 505 mg/kg/day for 5 days,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
555,N-METHYLFORMAMIDE,LD50,BDF1 Mouse ip 550 mg/kg/day for 10 days,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 172"
556,N-METHYLFORMAMIDE,LD50,Swiss Mouse ip 512 mg/kg/day for 21 days,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 173"
557,N-METHYLFORMAMIDE,LD50,Rat ip 3.5 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 173"
558,N-METHYLFORMAMIDE,LD50,Rat oral 4 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 173"
559,N-METHYLFORMAMIDE,LD50,Mouse ip 802 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2242"
560,N-METHYLFORMAMIDE,LD50,Mouse sc 3100 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2242"
561,2-METHYLPYRIDINE,LD50,Rat oral 790 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2520"
562,2-METHYLPYRIDINE,LD50,Rat ip 200 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2520"
563,2-METHYLPYRIDINE,LD50,Mouse oral 674 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2520"
564,2-METHYLPYRIDINE,LD50,Rabbit skin 410 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2520"
565,2-METHYLPYRIDINE,LD50,Guinea pig oral 900 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2520"
566,Morpholine,LD50,Rabbit skin 1210 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
567,Morpholine,LD50,Mouse inhalation 1.32 mg/L/2 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
568,Morpholine,LD50,Rat inhalation 65.2 mg/L/8 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
569,Morpholine,LD50,Rat inhalation 28.9 mg/L/8 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
570,Morpholine,LD50,Rat inhalation 43.4 mg/L/8 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
571,Morpholine,LD50,Rat inhalation 260 mg/L/4 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
572,Morpholine,LD50,Rat inhalation 24 mg/L/4 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
573,Morpholine,LD50,Rat inhalation 31 mg/L/8 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
574,Morpholine,LD50,Rat inhalation 18.1 mg/L/6 hr,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
575,Morpholine,LD50,Guinea pig oral 595 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
576,Morpholine,LD50,Rat oral 1450 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
577,Morpholine,LD50,Rat oral 1610-1630 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
578,Morpholine,LD50,Rat oral 1420-1440 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
579,Morpholine,LD50,Rat oral ca. 1913 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
580,Morpholine,LD50,Rat oral 1050 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
581,Morpholine,LD50,Rat oral 1600 mg/kg,"European Chemical Bureau; IUCLID Dataset, Morpholine (100-91-8) (2000 CD-ROM edition). Available from, as of July 8, 2010: https://ecb.jrc.ec.europe.ed/iuclid-datasheet/110918.pdf"
582,Morpholine,LD50,Rat oral 1050 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
583,Morpholine,LD50,Rat ip 100 - 400 mg/kg bw,"WHO; Environ Health Criteria 179: Morpholine (1996). Available from, as of May 14, 2010: https://www.inchem.org/pages/ehc.html"
584,Morpholine,LD50,Rat inhalation 8000 ppm/8 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
585,Morpholine,LD50,Rabbit skin 500 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
586,Morpholine,LD50,Mouse oral 525 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
587,Morpholine,LD50,Mouse ip 413 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
588,Morpholine,LD50,Mouse inhalation 1320 mg/cu m/2 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2577"
589,Morpholine,LD50,Guinea pig oral 900 mg/kg,"WHO/Health and Safety Guide No. 92 for Morpholine (1995). Available from, as of May 14, 2010: https://www.inchem.org/pages/hsg.html"
590,NITROBENZENE,LD50,Rat oral 600 mg/kg,"O'Neil, M.J. (ed.). The Merck Index - An Encyclopedia of Chemicals, Drugs, and Biologicals. Whitehouse Station, NJ:  Merck and Co., Inc., 2006., p. 1140"
591,NITROBENZENE,LD50,Rat oral 600 mg/kg,"IARC. Monographs on the Evaluation of the Carcinogenic Risk  of Chemicals to Humans. Geneva: World Health Organization,  International Agency for Research on Cancer, 1972-PRESENT.  (Multivolume work). Available at: https://monographs.iarc.fr/ENG/Classification/index.php, p. V65 396 (1996)"
592,NITROBENZENE,LD50,Rat skin 2100 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2656"
593,NITROBENZENE,LD50,Rat ip 640 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2656"
594,NITROBENZENE,LD50,New Zealand albino Rabbit dermal approx 760 mg/kg bw,WHO; Environmental Health Criteria 230: Nitrobenzene (2003) https://www.inchem.org/pages/ehc.html
595,NITROBENZENE,LD50,Mouse oral 590 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2656"
596,NITROETHANE,LD50,Mouse ip 310 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2671"
597,NITROETHANE,LD50,Mouse oral 860 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2671"
598,NITROETHANE,LD50,Rat oral 1100 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2671"
599,NITROMETHANE,LD50,Rat oral 940 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2685"
600,NITROMETHANE,LD50,Mouse oral 950 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2685"
601,NITROMETHANE,LD50,Mouse ip 110 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2685"
602,NITROMETHANE,LD50,Rabbit dermal >2000 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Nitromethane (75-52-5) (2000 CD-ROM  edition). Available from, as of July 15,2005: https://esis.jrc.ec.europa.eu/"
603,N-NONANE,LD50,Mouse iv 218 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2738"
604,N-NONANE,LD50,Rat inhalation 3200 ppm/4 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2738"
605,N-OCTANE,LD50,"have investigated the toxic effects of the inhalation of ... acute levels of n-octane. The rats were exposed to n-octane of 0, 2.34, 11.68 and 23.36 mg/L /once for 4 hr/ (n = 5 rats/group/gender) in an acute inhalation test ... The LC50 for the acute inhalation toxicity of n-octane was determined to exceed 23.36 mg/L ... .",PMID:22953180
606,N-OCTANE,LD50,Rat inhalation 118 g/cu m/4 hr,"Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. V4 50"
607,n-Pentane,LD50,Rat inhalation 364 g/cu m/4H,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2843"
608,n-Pentane,LD50,Mouse intravenous 446 mg/kg.,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2843"
609,"2,2-DIMETHYLPROPANE",LD50,Mouse ip 100 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 2616"
610,"2,2-DIMETHYLPROPANE",LD50,"Mouse inhalation 340,000 ppm/2 hr","Galvin JB, Panson R; J Toxicol Environ Health, Part A 58: 75-80 (1999)"
611,N-PENTYL ALCOHOL,LD50,Rabbit dermal 2000 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Pentan-1-ol (71-41-0) (2000 CD-ROM  edition). Available from, as of July 13, 2005: https://esis.jrc.ec.europa.eu/"
612,N-PENTYL ALCOHOL,LD50,Mouse ip about 325 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Pentan-1-ol (71-41-0) (2000 CD-ROM  edition). Available from, as of July 13, 2005: https://esis.jrc.ec.europa.eu/"
613,N-PENTYL ALCOHOL,LD50,Mouse iv 184 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Pentan-1-ol (71-41-0) (2000 CD-ROM  edition). Available from, as of July 13, 2005: https://esis.jrc.ec.europa.eu/"
614,N-PENTYL ALCOHOL,LD50,Mouse oral 200 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 224"
615,N-PENTYL ALCOHOL,LD50,Rat oral 2200 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Pentan-1-ol (71-41-0) (2000 CD-ROM  edition). Available from, as of July 13, 2005: https://esis.jrc.ec.europa.eu/"
616,PHENETOLE,LD50,RAT SUBCUTANEOUS 4.0 G/KG,"The Merck Index. 9th ed. Rahway, New Jersey: Merck & Co., Inc., 1976., p. 938"
617,PHENETOLE,LD50,Guinea pig oral 3.0-10 g/kg /From table/,"Clayton, G. D. and F. E. Clayton (eds.). Patty's Industrial Hygiene and Toxicology: Volume 2A, 2B, 2C: Toxicology. 3rd ed. New York: John Wiley Sons, 1981-1982., p. 2526"
618,PHENETOLE,LD50,Rat sc 3.5-4.0 g/kg /From table/,"Clayton, G. D. and F. E. Clayton (eds.). Patty's Industrial Hygiene and Toxicology: Volume 2A, 2B, 2C: Toxicology. 3rd ed. New York: John Wiley Sons, 1981-1982., p. 2527"
619,PHENOL,LD50,Rat oral 530 mg/kg,"O'Neil, M.J. (ed.). The Merck Index - An Encyclopedia of  Chemicals, Drugs, and Biologicals. 13th Edition, Whitehouse  Station, NJ:  Merck and Co., Inc., 2001., p. 1299"
620,PHENOL,LD50,Cat oral 0.1 g/kg,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 982"
621,PHENOL,LD50,Dog oral 0.5 g/kg,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 982"
622,PHENOL,LD50,Rat oral 317 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2630"
623,PHENOL,LD50,Rat dermal 669 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2630"
624,PHENOL,LD50,Rat sc 460 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2630"
625,PHENOL,LD50,Mouse oral 270 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2630"
626,PHENOL,LD50,Mouse iv 112 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 2630"
